rank,layer,head,dla_score
232,9,23,0.00728512741625309
233,4,8,0.007263731211423874
234,3,14,0.007251977454870939
235,2,13,0.007182896602898836
236,1,12,0.007165428716689348
237,5,24,0.0070535908453166485
238,6,39,0.007034944836050272
239,14,35,0.006995493546128273
240,3,35,0.006987991277128458
241,5,1,0.006982377264648676
242,7,32,0.006913547869771719
243,8,2,0.006901994347572327
244,3,9,0.006769195199012756
245,5,6,0.006742789875715971
246,2,39,0.006626393646001816
247,7,18,0.006561368703842163
248,4,38,0.006506901700049639
249,17,9,0.00633535860106349
250,16,4,0.006095195654779673
251,16,19,0.006082688923925161
252,6,37,0.005947666708379984
253,10,18,0.0058733453042805195
254,9,16,0.005841188598424196
255,5,18,0.005811274517327547
256,0,13,0.005805887747555971
257,10,26,0.005804609972983599
258,5,16,0.005802705883979797
259,10,6,0.005800268147140741
260,17,18,0.005664223339408636
261,3,33,0.005522395018488169
262,3,12,0.005495917517691851
263,1,1,0.005476378370076418
264,8,3,0.005426537245512009
265,10,35,0.005386149510741234
266,2,33,0.005328651517629623
267,18,22,0.00527135981246829
268,4,6,0.005228898953646421
269,1,7,0.005168919451534748
270,11,35,0.005030959378927946
271,8,1,0.004788370802998543
272,4,9,0.0047701685689389706
273,0,28,0.004761547781527042
274,13,26,0.004724396858364344
275,11,26,0.004616076592355967
276,5,19,0.004538354929536581
277,11,28,0.004504175391048193
278,13,37,0.0044834245927631855
279,9,25,0.004467580001801252
280,6,4,0.004431463312357664
281,16,18,0.004422829020768404
282,2,3,0.004359407816082239
283,13,1,0.004341178573668003
284,1,33,0.004312785342335701
285,4,18,0.004292200785130262
286,5,8,0.004285979550331831
287,0,6,0.004222468007355928
288,1,20,0.00421113008633256
289,3,4,0.004128766246140003
290,6,11,0.004100824240595102
291,4,25,0.004080736543983221
292,2,11,0.003949298989027739
293,9,8,0.0038681637961417437
294,9,38,0.0038050347939133644
295,11,6,0.0037445593625307083
296,6,0,0.00374363805167377
297,16,8,0.0036612062249332666
298,0,37,0.003636176697909832
299,8,0,0.0036076430696994066
300,7,9,0.0035976304206997156
301,2,1,0.0035896587651222944
302,4,23,0.0035527904983609915
303,3,27,0.0035484794061630964
304,2,25,0.003527337685227394
305,12,6,0.003493558382615447
306,4,3,0.0034215745981782675
307,5,33,0.0033790504094213247
308,0,19,0.003318551229313016
309,4,39,0.003154090838506818
310,2,29,0.0031516700983047485
311,5,5,0.003128468059003353
312,9,6,0.0031245595309883356
313,0,31,0.003078122390434146
314,2,32,0.003068172372877598
315,6,7,0.0029733506962656975
316,11,25,0.0029262921307235956
317,8,29,0.002829398028552532
318,9,10,0.002796898363158107
319,3,23,0.0027546461205929518
320,3,34,0.0027466288302093744
321,1,16,0.002725734608247876
322,8,12,0.002715444192290306
323,5,17,0.0026590607594698668
324,8,10,0.0026247177738696337
325,0,26,0.0025674873031675816
326,6,5,0.002539057517424226
327,11,8,0.0025378402788192034
328,18,24,0.002485682023689151
329,6,34,0.0024453976657241583
330,4,34,0.0024252082221210003
331,10,8,0.002388777444139123
332,16,21,0.0023592200595885515
333,16,15,0.002357377903535962
334,4,15,0.0023569930344820023
335,9,20,0.0023343355860561132
336,1,10,0.0023091461043804884
337,18,9,0.0022343310993164778
338,4,29,0.00222003529779613
339,11,20,0.002202435163781047
340,8,36,0.0021923845633864403
341,17,17,0.0021749648731201887
342,2,20,0.002163306577131152
343,2,10,0.0021487120538949966
344,17,4,0.0021454698871821165
345,3,21,0.002028088551014662
346,3,19,0.0019297759281471372
347,2,14,0.0018320727394893765
348,5,28,0.001785552129149437
349,5,27,0.0016882851487025619
350,1,19,0.0015474868705496192
351,0,34,0.0015350052854046226
352,6,30,0.001519750221632421
353,11,30,0.0014882826944813132
354,3,36,0.0014323854120448232
355,1,22,0.0014297390589490533
356,2,9,0.0013598104706034064
357,1,14,0.001251756795682013
358,1,28,0.001222319551743567
359,5,15,0.0012102368054911494
360,4,4,0.0011883158003911376
361,14,26,0.0011503983987495303
362,12,25,0.0011391191510483623
363,1,30,0.0011212946847081184
364,11,24,0.0011167725315317512
365,7,19,0.0011108069447800517
366,2,22,0.0009793642675504088
367,3,25,0.0009356574155390263
368,8,14,0.000868924253154546
369,7,22,0.0007414976716972888
370,1,2,0.0007113421452231705
371,0,25,0.0006545961368829012
372,4,11,0.0006339451065286994
373,17,29,0.0006119696190580726
374,11,39,0.0005704964860342443
375,2,24,0.0005264381179586053
376,3,30,0.0005036644288338721
377,7,24,0.00046660329098813236
378,7,20,0.00043752146302722394
379,3,0,0.00041833225986920297
380,1,32,0.00041508537833578885
381,3,26,0.00035911286249756813
382,7,30,0.00033246749080717564
383,6,28,0.00023244274780154228
384,10,7,0.00021152551926206797
385,6,14,0.000161530333571136
386,11,37,0.00012934279220644385
387,11,38,0.00012150613474659622
388,2,15,0.00012031971709802747
389,6,9,1.0809861123561859e-05
390,1,17,-1.3887057320971508e-05
391,2,2,-1.6288133338093758e-05
392,2,0,-2.4336613932973705e-05
393,8,7,-4.17604751419276e-05
394,3,24,-4.2614334233803675e-05
395,15,33,-4.771648673340678e-05
396,9,32,-8.275538129964843e-05
397,2,19,-0.0001525778934592381
398,5,22,-0.00017835701873991638
399,7,14,-0.00018889798957388848
400,9,34,-0.00021204695804044604
401,5,14,-0.0002503935247659683
402,4,21,-0.00028347165789455175
403,0,29,-0.0002956198004540056
404,7,1,-0.0003372940991539508
405,9,24,-0.0003420245775487274
406,7,4,-0.00044446042738854885
407,11,36,-0.00048317399341613054
408,2,28,-0.0004848336102440953
409,10,11,-0.0005316608003340662
410,8,13,-0.0005516798701137304
411,9,39,-0.0005633709370158613
412,3,6,-0.0005996055551804602
413,7,34,-0.0006459718570113182
414,7,17,-0.0006466259947046638
415,2,35,-0.0006594220758415759
416,11,22,-0.0006878972635604441
417,14,25,-0.000703437312040478
418,7,3,-0.000740565883461386
419,8,4,-0.000914363597985357
420,17,28,-0.0010112915188074112
421,4,17,-0.0010258242255076766
422,6,10,-0.0010332245146855712
423,4,30,-0.001074576866813004
424,5,4,-0.001096277846954763
425,8,39,-0.0011061477707698941
426,6,13,-0.0011313423747196794
427,4,32,-0.00120093347504735
428,6,27,-0.001231975737027824
429,16,13,-0.001286900951527059
430,6,31,-0.0013272827491164207
431,0,2,-0.0013369590742513537
432,1,25,-0.0013517896877601743
433,7,0,-0.0014031073078513145
434,16,9,-0.0014193709939718246
435,12,13,-0.0014217804418876767
436,14,13,-0.0014389012940227985
437,3,20,-0.0014424221590161324
438,2,18,-0.0014600573340430856
439,7,12,-0.001461197272874415
440,7,23,-0.0014763175277039409
441,13,2,-0.001530938781797886
442,12,5,-0.0015612608985975385
443,0,30,-0.001588234561495483
444,8,33,-0.001610100851394236
445,14,24,-0.0017280528554692864
446,7,6,-0.0017569772899150848
447,8,8,-0.0017759051406756043
448,1,24,-0.00186287856195122
449,7,16,-0.0019282851135358214
450,7,15,-0.0019329468486830592
451,2,16,-0.001982351765036583
452,4,24,-0.0019853294361382723
453,11,13,-0.0019993807654827833
454,4,7,-0.0021136405412107706
455,6,33,-0.002139636082574725
456,4,16,-0.0022340656723827124
457,1,23,-0.002287429990246892
458,6,8,-0.0023289856035262346
459,5,7,-0.002347451401874423
460,0,32,-0.002390384441241622
461,15,31,-0.0024055142421275377
462,6,24,-0.0024775417987257242
463,9,31,-0.0024955153930932283
464,2,36,-0.0025330265052616596
465,5,30,-0.002645220374688506
466,7,11,-0.002741784555837512
467,2,6,-0.002745399484410882
468,14,23,-0.002749396488070488
469,6,1,-0.0027622629422694445
470,6,35,-0.0027865972369909286
471,11,1,-0.0027905770111829042
472,7,33,-0.002830547047778964
473,1,11,-0.0028673962224274874
474,17,0,-0.0029054691549390554
475,0,15,-0.0029631946235895157
476,7,21,-0.0029999036341905594
477,9,33,-0.003041953081265092
478,11,15,-0.0030459745321422815
479,3,13,-0.0030690710991621017
480,10,34,-0.003094799118116498
481,8,28,-0.0032848140690475702
