prompt_idx,L_top,head,base_clean_proj,base_dirty_proj,patched_proj,recovery,status,error_msg
2,20,22,485.2322082519531,-43.7602653503418,-44.339134216308594,-0.001094285637042919,ok,
2,20,23,485.2322082519531,-43.7602653503418,-44.422935485839844,-0.0012527023891010082,ok,
2,20,24,485.2322082519531,-43.7602653503418,-44.17015075683594,-0.0007748416602280415,ok,
2,20,25,485.2322082519531,-43.7602653503418,-43.79332733154297,-6.249990850725867e-05,ok,
2,20,26,485.2322082519531,-43.7602653503418,-43.66157531738281,0.00018656226295041985,ok,
2,20,27,485.2322082519531,-43.7602653503418,-44.584171295166016,-0.0015575003160510834,ok,
2,20,28,485.2322082519531,-43.7602653503418,-43.85051727294922,-0.00017061097673626776,ok,
2,20,29,485.2322082519531,-43.7602653503418,-44.467037200927734,-0.0013360716566967643,ok,
2,20,30,485.2322082519531,-43.7602653503418,-43.73581314086914,4.622411601840637e-05,ok,
2,20,31,485.2322082519531,-43.7602653503418,-43.8829460144043,-0.00023191381765241012,ok,
2,20,32,485.2322082519531,-43.7602653503418,-44.44298553466797,-0.0012906047219859917,ok,
2,20,33,485.2322082519531,-43.7602653503418,-44.051963806152344,-0.0005514226957222277,ok,
2,20,34,485.2322082519531,-43.7602653503418,-44.207454681396484,-0.0008453604793456696,ok,
2,20,35,485.2322082519531,-43.7602653503418,-43.79954528808594,-7.425424690195482e-05,ok,
2,20,36,485.2322082519531,-43.7602653503418,-43.904075622558594,-0.0002718569344427304,ok,
2,20,37,485.2322082519531,-43.7602653503418,-43.69287872314453,0.00012738674094620102,ok,
2,20,38,485.2322082519531,-43.7602653503418,-44.891029357910156,-0.0021375805214546135,ok,
2,20,39,485.2322082519531,-43.7602653503418,-44.11385726928711,-0.0006684252358780224,ok,
3,20,0,593.1912231445312,-78.374267578125,-79.13285064697266,-0.0011295742251904016,ok,
3,20,1,593.1912231445312,-78.374267578125,-78.54863739013672,-0.00025964677223673803,ok,
3,20,2,593.1912231445312,-78.374267578125,-78.91221618652344,-0.0008010367057717086,ok,
3,20,3,593.1912231445312,-78.374267578125,-78.57601928710938,-0.00030042000634558305,ok,
3,20,4,593.1912231445312,-78.374267578125,-78.45538330078125,-0.00012078601979527452,ok,
3,20,5,593.1912231445312,-78.374267578125,-78.10649108886719,0.000398734736905055,ok,
3,20,6,593.1912231445312,-78.374267578125,-78.6454086303711,-0.00040374476650717277,ok,
3,20,7,593.1912231445312,-78.374267578125,-78.65943908691406,-0.00042463693076634414,ok,
3,20,8,593.1912231445312,-78.374267578125,-79.15789031982422,-0.0011668597516170467,ok,
3,20,9,593.1912231445312,-78.374267578125,-78.69175720214844,-0.00047276048041389705,ok,
3,20,10,593.1912231445312,-78.374267578125,-78.33728790283203,5.5064883177924714e-05,ok,
3,20,11,593.1912231445312,-78.374267578125,-78.489501953125,-0.00017159067371969774,ok,
3,20,12,593.1912231445312,-78.374267578125,-78.87760925292969,-0.0007495049727213544,ok,
3,20,13,593.1912231445312,-78.374267578125,-78.69059753417969,-0.00047103366748981113,ok,
3,20,14,593.1912231445312,-78.374267578125,-78.21923828125,0.00023084762248306792,ok,
3,20,15,593.1912231445312,-78.374267578125,-78.38032531738281,-9.020325406080508e-06,ok,
3,20,16,593.1912231445312,-78.374267578125,-78.93276977539062,-0.0008316421927288634,ok,
3,20,17,593.1912231445312,-78.374267578125,-79.04859161376953,-0.0010041076335219467,ok,
3,20,18,593.1912231445312,-78.374267578125,-78.7793960571289,-0.000603259822907155,ok,
3,20,19,593.1912231445312,-78.374267578125,-78.5372314453125,-0.0002426626582794454,ok,
3,20,20,593.1912231445312,-78.374267578125,-78.78958892822266,-0.000618437599660963,ok,
3,20,21,593.1912231445312,-78.374267578125,-78.76229858398438,-0.00057780069288823,ok,
3,20,22,593.1912231445312,-78.374267578125,-78.98002624511719,-0.0009020098193853655,ok,
3,20,23,593.1912231445312,-78.374267578125,-78.98059844970703,-0.0009028618652360658,ok,
3,20,24,593.1912231445312,-78.374267578125,-78.87477111816406,-0.000745278825301881,ok,
3,20,25,593.1912231445312,-78.374267578125,-78.38088989257812,-9.861010645438137e-06,ok,
3,20,26,593.1912231445312,-78.374267578125,-78.4451904296875,-0.0001056082430414665,ok,
3,20,27,593.1912231445312,-78.374267578125,-78.7739028930664,-0.0005950801827404322,ok,
3,20,28,593.1912231445312,-78.374267578125,-78.89593505859375,-0.0007767931611664494,ok,
3,20,29,593.1912231445312,-78.374267578125,-78.15326690673828,0.00032908282876314114,ok,
3,20,30,593.1912231445312,-78.374267578125,-78.88019561767578,-0.0007533562199665198,ok,
3,20,31,593.1912231445312,-78.374267578125,-78.68843841552734,-0.00046781861447983534,ok,
3,20,32,593.1912231445312,-78.374267578125,-78.62346649169922,-0.00037107164828565194,ok,
3,20,33,593.1912231445312,-78.374267578125,-78.36231231689453,1.780207797396493e-05,ok,
3,20,34,593.1912231445312,-78.374267578125,-78.76513671875,-0.0005820268403077035,ok,
3,20,35,593.1912231445312,-78.374267578125,-78.184326171875,0.0002828337799871289,ok,
3,20,36,593.1912231445312,-78.374267578125,-78.56358337402344,-0.00028190220985702986,ok,
3,20,37,593.1912231445312,-78.374267578125,-78.86502075195312,-0.0007307599640059479,ok,
3,20,38,593.1912231445312,-78.374267578125,-78.72296905517578,-0.0005192367414167628,ok,
3,20,39,593.1912231445312,-78.374267578125,-78.51473999023438,-0.0002091715760412523,ok,
4,20,0,513.627197265625,-55.951683044433594,-56.75736999511719,-0.0014145309430100468,ok,
4,20,1,513.627197265625,-55.951683044433594,-56.81026840209961,-0.0015074037808400342,ok,
4,20,2,513.627197265625,-55.951683044433594,-56.47140884399414,-0.0009124737898947843,ok,
4,20,3,513.627197265625,-55.951683044433594,-56.29154968261719,-0.0005966981043935168,ok,
4,20,4,513.627197265625,-55.951683044433594,-56.68449020385742,-0.0012865771269905827,ok,
4,20,5,513.627197265625,-55.951683044433594,-56.140113830566406,-0.00033082474200981163,ok,
4,20,6,513.627197265625,-55.951683044433594,-56.911712646484375,-0.001685507723755795,ok,
4,20,7,513.627197265625,-55.951683044433594,-56.513771057128906,-0.0009868484105122221,ok,
4,20,8,513.627197265625,-55.951683044433594,-56.55760192871094,-0.0010638015299083824,ok,
4,20,9,513.627197265625,-55.951683044433594,-56.33391571044922,-0.0006710794224103799,ok,
4,20,10,513.627197265625,-55.951683044433594,-53.72093963623047,0.003916478446301919,ok,
4,20,11,513.627197265625,-55.951683044433594,-56.998497009277344,-0.0018378735606803074,ok,
4,20,12,513.627197265625,-55.951683044433594,-58.52738571166992,-0.004522117578928149,ok,
4,20,13,513.627197265625,-55.951683044433594,-55.50205612182617,0.0007894023780563298,ok,
4,20,14,513.627197265625,-55.951683044433594,-56.781246185302734,-0.0014564499660127072,ok,
4,20,15,513.627197265625,-55.951683044433594,-56.7467155456543,-0.0013958251064153143,ok,
4,20,16,513.627197265625,-55.951683044433594,-55.42052459716797,0.0009325458959722684,ok,
4,20,17,513.627197265625,-55.951683044433594,-56.85179901123047,-0.0015803183683827668,ok,
4,20,18,513.627197265625,-55.951683044433594,-56.376041412353516,-0.000745038804263452,ok,
4,20,19,513.627197265625,-55.951683044433594,-57.06543731689453,-0.001955399525794652,ok,
4,20,20,513.627197265625,-55.951683044433594,-56.64642333984375,-0.00121974377812598,ok,
4,20,21,513.627197265625,-55.951683044433594,-56.5753173828125,-0.0010949042528392587,ok,
4,20,22,513.627197265625,-55.951683044433594,-56.72435760498047,-0.0013565716483839047,ok,
4,20,23,513.627197265625,-55.951683044433594,-56.575477600097656,-0.0010951855436151193,ok,
4,20,24,513.627197265625,-55.951683044433594,-56.48171615600586,-0.0009305701631418187,ok,
4,20,25,513.627197265625,-55.951683044433594,-56.613468170166016,-0.0011618849444912168,ok,
4,20,26,513.627197265625,-55.951683044433594,-56.61946105957031,-0.0011724065589882899,ok,
4,20,27,513.627197265625,-55.951683044433594,-56.458335876464844,-0.0008895218020644412,ok,
4,20,28,513.627197265625,-55.951683044433594,-56.71162414550781,-0.0013342157291024092,ok,
4,20,29,513.627197265625,-55.951683044433594,-56.621585845947266,-0.001176137010468156,ok,
4,20,30,513.627197265625,-55.951683044433594,-56.76439666748047,-0.0014268675527513634,ok,
4,20,31,513.627197265625,-55.951683044433594,-56.73509216308594,-0.0013754181303665676,ok,
4,20,32,513.627197265625,-55.951683044433594,-57.30663299560547,-0.002378862696654567,ok,
4,20,33,513.627197265625,-55.951683044433594,-57.14418411254883,-0.002093653942130156,ok,
4,20,34,513.627197265625,-55.951683044433594,-55.58847427368164,0.0006376794914766417,ok,
4,20,35,513.627197265625,-55.951683044433594,-57.07280349731445,-0.001968332204084816,ok,
4,20,36,513.627197265625,-55.951683044433594,-56.973785400390625,-0.0017944878072035165,ok,
4,20,37,513.627197265625,-55.951683044433594,-56.49913787841797,-0.0009611571863169504,ok,
4,20,38,513.627197265625,-55.951683044433594,-57.395103454589844,-0.0025341887841250415,ok,
4,20,39,513.627197265625,-55.951683044433594,-56.18281555175781,-0.00040579543117609697,ok,
5,20,0,540.1043701171875,-76.64889526367188,-76.33984375,0.0005010942479259167,ok,
5,20,1,540.1043701171875,-76.64889526367188,-76.50891876220703,0.00022695704963702953,ok,
5,20,2,540.1043701171875,-76.64889526367188,-76.50527954101562,0.0002328576607820049,ok,
5,20,3,540.1043701171875,-76.64889526367188,-76.8538589477539,-0.00033232687297644295,ok,
5,20,4,540.1043701171875,-76.64889526367188,-76.75444793701172,-0.00017114246371223107,ok,
5,20,5,540.1043701171875,-76.64889526367188,-76.30859375,0.0005517628081980741,ok,
5,20,6,540.1043701171875,-76.64889526367188,-76.51969146728516,0.00020949025102758463,ok,
5,20,7,540.1043701171875,-76.64889526367188,-76.4314956665039,0.0003524903869519353,ok,
5,20,8,540.1043701171875,-76.64889526367188,-76.26080322265625,0.0006292500790830337,ok,
5,20,9,540.1043701171875,-76.64889526367188,-76.6685791015625,-3.191525524955231e-05,ok,
5,20,10,540.1043701171875,-76.64889526367188,-75.7018814086914,0.001535482514868674,ok,
5,20,11,540.1043701171875,-76.64889526367188,-76.50718688964844,0.00022976509728883123,ok,
5,20,12,540.1043701171875,-76.64889526367188,-77.15467834472656,-0.000820073616865822,ok,
5,20,13,540.1043701171875,-76.64889526367188,-76.49998474121094,0.00024144261703905502,ok,
5,20,14,540.1043701171875,-76.64889526367188,-76.54592895507812,0.00016694894761548759,ok,
5,20,15,540.1043701171875,-76.64889526367188,-76.13587188720703,0.0008318129878859093,ok,
5,20,16,540.1043701171875,-76.64889526367188,-76.63058471679688,2.9688609534467263e-05,ok,
5,20,17,540.1043701171875,-76.64889526367188,-76.70941162109375,-9.812085451141431e-05,ok,
5,20,18,540.1043701171875,-76.64889526367188,-77.03588104248047,-0.0006274563922569929,ok,
5,20,19,540.1043701171875,-76.64889526367188,-77.13296508789062,-0.0007848678740595328,ok,
5,20,20,540.1043701171875,-76.64889526367188,-76.20502471923828,0.0007196890058774046,ok,
5,20,21,540.1043701171875,-76.64889526367188,-76.25545501708984,0.0006379216271178926,ok,
5,20,22,540.1043701171875,-76.64889526367188,-76.61343383789062,5.749694046508493e-05,ok,
5,20,23,540.1043701171875,-76.64889526367188,-76.4393310546875,0.00033978613612197785,ok,
5,20,24,540.1043701171875,-76.64889526367188,-76.58538818359375,0.00010296999406871063,ok,
5,20,25,540.1043701171875,-76.64889526367188,-76.63665771484375,1.9841887372202288e-05,ok,
5,20,26,540.1043701171875,-76.64889526367188,-76.54489135742188,0.00016863130215577407,ok,
5,20,27,540.1043701171875,-76.64889526367188,-76.71395111083984,-0.00010548115562516765,ok,
5,20,28,540.1043701171875,-76.64889526367188,-77.00927734375,-0.0005843213166542065,ok,
5,20,29,540.1043701171875,-76.64889526367188,-76.57630920410156,0.00011769059629621731,ok,
5,20,30,540.1043701171875,-76.64889526367188,-76.6494140625,-8.411772701432391e-07,ok,
5,20,31,540.1043701171875,-76.64889526367188,-76.63578033447266,2.126446657906218e-05,ok,
5,20,32,540.1043701171875,-76.64889526367188,-76.72947692871094,-0.00013065462245960135,ok,
5,20,33,540.1043701171875,-76.64889526367188,-76.45905303955078,0.000307809029602562,ok,
5,20,34,540.1043701171875,-76.64889526367188,-76.46846771240234,0.0002925441362002568,ok,
5,20,35,540.1043701171875,-76.64889526367188,-76.52892303466797,0.00019452224372062404,ok,
5,20,36,540.1043701171875,-76.64889526367188,-76.68948364257812,-6.580975113473577e-05,ok,
5,20,37,540.1043701171875,-76.64889526367188,-76.54214477539062,0.00017308459358594415,ok,
5,20,38,540.1043701171875,-76.64889526367188,-76.7430648803711,-0.0001526860447849706,ok,
5,20,39,540.1043701171875,-76.64889526367188,-76.1059799194336,0.0008802796429509271,ok,
