prompt_idx,L_patch,base_clean_proj,base_dirty_proj,patched_proj,recovery,status,error_msg
3,36,592.757080078125,-77.61763763427734,-76.47065734863281,0.0017109539714721127,ok,
4,0,512.0789794921875,-54.68439865112305,-51.593116760253906,0.00545427247080789,ok,
4,4,512.0789794921875,-54.68439865112305,-54.38727569580078,0.0005242451555279137,ok,
4,8,512.0789794921875,-54.68439865112305,-53.57752990722656,0.0019529644761496993,ok,
4,12,512.0789794921875,-54.68439865112305,-52.781455993652344,0.003357561075496182,ok,
4,16,512.0789794921875,-54.68439865112305,-32.11663055419922,0.039818677365596106,ok,
4,20,512.0789794921875,-54.68439865112305,-1.7999496459960938,0.09330957335029982,ok,
4,24,512.0789794921875,-54.68439865112305,-48.071693420410156,0.011667488559997989,ok,
4,28,512.0789794921875,-54.68439865112305,-54.31098937988281,0.0006588450941617031,ok,
4,32,512.0789794921875,-54.68439865112305,-54.56977844238281,0.0002022364414506185,ok,
4,36,512.0789794921875,-54.68439865112305,-54.18128967285156,0.0008876878741171405,ok,
5,0,540.9867553710938,-77.433349609375,-71.9186019897461,0.008917477900889195,ok,
5,4,540.9867553710938,-77.433349609375,-78.65966796875,-0.001982985917661474,ok,
5,8,540.9867553710938,-77.433349609375,-74.0511245727539,0.005469138227205458,ok,
5,12,540.9867553710938,-77.433349609375,-77.23976135253906,0.0003130368098916375,ok,
5,16,540.9867553710938,-77.433349609375,-60.06997299194336,0.02807699244832931,ok,
5,20,540.9867553710938,-77.433349609375,-54.93709182739258,0.036376983220318994,ok,
5,24,540.9867553710938,-77.433349609375,-72.59309387207031,0.007826808504968568,ok,
5,28,540.9867553710938,-77.433349609375,-77.31536102294922,0.0001907903470077313,ok,
5,32,540.9867553710938,-77.433349609375,-76.74807739257812,0.001108101452844127,ok,
5,36,540.9867553710938,-77.433349609375,-77.14912414550781,0.00045959932670068033,ok,
6,0,493.2138366699219,-73.79511260986328,-67.66505432128906,0.010811219640114358,ok,
6,4,493.2138366699219,-73.79511260986328,-69.19497680664062,0.008112986239574788,ok,
6,8,493.2138366699219,-73.79511260986328,-63.86068344116211,0.01752076255819222,ok,
6,12,493.2138366699219,-73.79511260986328,-65.54371643066406,0.014552497257195223,ok,
6,16,493.2138366699219,-73.79511260986328,-46.225547790527344,0.04862280366889236,ok,
